match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220524-W-Roland_Garros-R128-Panna_Udvardy-Fernanda_Contreras_Gomez,Panna Udvardy,Fernanda Contreras Gomez,R,R,W,20220524,Roland Garros,R128,,6,Clay,Marijana Veljovic,3,A,Zindaras
20220523-W-Roland_Garros-R128-Linda_Noskova-Emma_Raducanu,Linda Noskova,Emma Raducanu,R,R,W,20220523,Roland Garros,R128,17:50,Mathieu,Clay,Alexandre Robein,3,A,Zindaras
20220523-W-Roland_Garros-R128-Iga_Swiatek-Lesia_Tsurenko,Iga Swiatek,Lesia Tsurenko,R,R,W,20220523,Roland Garros,R128,12:00:00 PM,Philippe Chatrier,Clay,Kader Nouni,3,1,Roger
20220523-W-Roland_Garros-R128-Bianca_Andreescu-Ysaline_Bonaventure,Bianca Andreescu,Ysaline Bonaventure,R,L,W,20220523,Roland Garros,R128,11:15,7,Clay,Carlos Ramos,3,A,Zindaras
20220522-W-Roland_Garros-R128-Magda_Linette-Ons_Jabeur,Magda Linette,Ons Jabeur,R,R,W,20220522,Roland Garros,R128,11:10,Philippe Chatrier,Clay,Emmanuel Joseph,3,A,Zindaras
20220517-W-Strasbourg-R32-Fiona_Ferro-Angelina_Gabueva,Fiona Ferro,Angelina Gabueva,R,R,W,20220517,Strasbourg,R32,,,Clay,,3,1,andy
20220517-W-Roland_Garros-Q1-Elisabetta_Cocciaretto-Arianne_Hartono,Elisabetta Cocciaretto,Arianne Hartono,R,R,W,20220517,Roland Garros,Q1,,10,Clay,Floriane Dierckx,3,A,Zindaras
20220517-W-Roland_Garros-Q1-Aliona_Bolsova-Kathinka_Von_Deichmann,Aliona Bolsova,Kathinka Von Deichmann,R,R,W,20220517,Roland Garros,Q1,,13,Clay,Vincent Dugravier,3,A,Zindaras
20220516-W-Strasbourg-R32-Lina_Glushko-Kaja_Juvan,Lina Glushko,Kaja Juvan,R,R,W,20220516,Strasbourg,R32,,2,Clay,Jennifer Travers,3,1,Zindaras
20220516-W-Strasbourg-R32-Carole_Monnet-Elise_Mertens,Carole Monnet,Elise Mertens,R,R,W,20220516,Strasbourg,R32,,Patrice Dominguez,Clay,Meruyert Kaukeyeva,3,1,Zindaras
20220516-W-Strasbourg-R32-Aliaksandra_Sasnovich-Julie_Gervais,Aliaksandra Sasnovich,Julie Gervais,R,R,W,20220516,Strasbourg,R32,,1,Clay,T. Soares,3,1,Zindaras
20220516-W-Roland_Garros-Q1-Cristina_Bucsa-Olga_Govortsova,Cristina Bucsa,Olga Govortsova,R,R,W,20220516,Roland Garros,Q1,,,Clay,,3,A,andy
20220516-W-Rabat-R32-Arantxa_Rus-Lulu_Radovcic,Arantxa Rus,Lulu Radovcic,L,L,W,20220516,Rabat,R32,,Centre,Clay,Ahmed Youssef,3,1,Zindaras
20220516-W-Rabat-R32-Anna_Karolina_Schmiedlova-Ekaterina_Reyngold,Anna Karolina Schmiedlova,Ekaterina Reyngold,R,R,W,20220516,Rabat,R32,,,Clay,,3,1,andy
20220515-W-Strasbourg-R32-Harmony_Tan-Samantha_Stosur,Harmony Tan,Samantha Stosur,R,R,W,20220515,Strasbourg,R32,,Patrice Dominguez,Clay,Juan Zhang,3,1,Zindaras
20220515-W-Rome-F-Iga_Swiatek-Ons_Jabeur,Iga Swiatek,Ons Jabeur,R,R,W,20220515,Rome,F,13:10,Center Court,Clay,Maria Cicak,3,1,Zindaras
20220515-W-Rabat-R32-Rebecca_Peterson-Petra_Marcinko,Rebecca Peterson,Petra Marcinko,R,R,W,20220515,Rabat,R32,,,Clay,Gianluca Moscarella,3,1,Elephant
20220514-W-Rome-SF-Daria_Kasatkina-Ons_Jabeur,Daria Kasatkina,Ons Jabeur,R,R,W,20220514,Rome,SF,,Centrale,Clay,Cecilia Alberti,3,1,Zindaras
20220514-W-Rome-SF-Aryna_Sabalenka-Iga_Swiatek,Aryna Sabalenka,Iga Swiatek,R,R,W,20220514,Rome,SF,,,Clay,Pierre Bacchi,3,1,Elephant
