match_id,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,STotal2,37,25,25,4,5,2,5,6,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,BP1,25,21,21,1,3,4,4,2,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,BP2,13,9,9,4,2,2,0,2,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,GP1,31,17,23,1,1,5,3,8,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,GP2,25,17,14,3,8,0,0,5,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Deuce1,24,17,16,2,2,6,4,2,0
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Deuce2,17,10,9,1,3,0,3,3,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,STotal1,80,55,60,4,6,15,11,12,1
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,STotal2,55,36,32,8,13,2,3,10,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,BP1,0,0,0,0,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,BP2,6,2,4,1,0,0,0,2,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,GP1,12,8,7,1,1,2,1,3,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,GP2,5,3,3,0,1,0,1,2,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,Deuce1,0,0,0,0,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,Deuce2,4,2,4,0,1,1,0,1,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,STotal1,12,8,7,1,1,2,1,3,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,STotal2,15,7,11,1,2,1,1,5,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,BP1,6,2,4,0,1,0,1,3,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,BP2,20,13,12,0,4,4,4,3,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,GP1,33,23,21,0,7,7,3,4,1
