match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,K,1,1,0,1,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Total,208,51,12,10,29,42,119,89
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Fside,107,30,7,5,18,13,63,44
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Bside,101,21,5,5,11,29,56,45
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Fgs,101,25,5,3,17,13,59,42
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Bgs,95,16,2,5,9,29,52,43
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Base,204,47,9,9,29,42,115,89
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Net,4,4,3,1,0,0,4,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Gs,174,40,7,8,25,40,102,72
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Dr,8,6,2,1,3,0,4,4
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Vo,3,3,2,1,0,0,3,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Ov,1,1,1,0,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,F,94,25,5,3,17,12,54,40
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,B,80,15,2,5,8,28,48,32
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,R,7,0,0,0,0,1,5,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,S,15,1,0,0,1,1,4,11
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,U,3,2,0,1,1,0,1,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,Y,5,4,2,0,2,0,3,2
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,V,2,2,1,1,0,0,2,0
