match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,DeuceR2,14,3,1,1,9
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,RTotal1,19,5,0,0,7
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,RTotal2,34,9,6,1,17
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,BPO1,11,3,0,2,2
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,BPO2,1,0,0,0,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,GPF1,6,1,1,0,1
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,GPF2,14,5,1,3,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,DeuceR1,10,6,4,1,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,DeuceR2,10,1,1,0,1
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,RTotal1,27,10,5,3,6
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,RTotal2,25,6,2,3,1
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,BPO1,16,6,1,2,3
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,BPO2,5,2,2,0,0
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,GPF1,12,6,2,0,0
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,GPF2,14,3,2,1,4
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,DeuceR1,17,11,3,2,0
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,DeuceR2,10,3,1,0,5
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,RTotal1,45,23,6,4,3
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,RTotal2,29,8,5,1,9
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,BPO1,13,7,4,0,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,BPO2,12,5,0,0,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,GPF1,16,7,4,0,3
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,GPF2,24,13,6,2,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,DeuceR1,17,7,4,0,4
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,DeuceR2,15,6,3,0,3
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,RTotal1,46,21,12,0,9
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,RTotal2,51,24,9,2,7
