match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5,16,0,13,4,2,1,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6,12,4,7,3,1,1,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4D,4,1,2,0,1,1,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4A,10,4,5,2,1,1,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5D,9,0,8,2,1,1,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5A,7,0,5,2,1,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6D,9,2,6,2,1,1,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6A,3,2,1,1,0,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Total,48,7,37,15,3,0,2,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,v1st,37,7,28,14,2,0,1,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,v2nd,11,0,9,1,1,0,1,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,fh,22,3,18,5,1,0,0,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,bh,26,4,19,10,2,0,2,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,gs,46,6,36,15,3,0,2,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,sl,2,1,1,0,0,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,D,25,2,20,6,2,0,1,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,A,23,5,17,9,1,0,1,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4,22,4,16,6,2,0,1,1,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5,13,0,12,5,1,0,1,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6,13,3,9,4,0,0,0,0,0
