match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S-IO,2,2,2,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-XC,31,3,1,2,0,25,6
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-DTM,24,2,1,0,1,13,11
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-DTL,19,8,3,3,2,12,7
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-IO,10,1,0,1,0,6,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-XC,21,4,1,2,1,17,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-DTM,36,1,0,0,1,17,19
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-DTL,5,2,1,0,1,2,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-IO,8,1,0,0,1,5,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-XC,2,0,0,0,0,1,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-DTM,4,0,0,0,0,3,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-DTL,1,0,0,0,0,0,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-XC,31,6,0,3,3,11,20
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-DTM,32,6,1,0,5,13,19
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-DTL,12,4,1,1,2,4,8
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-IO,22,7,2,2,3,10,12
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B-XC,33,8,1,0,7,11,22
