match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20120401-W-Miami-F-Agnieszka_Radwanska-Maria_Sharapova,2,ApproachRallies,2,2,2,0,0,0,0,9
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,NetPoints,2,2,2,0,0,0,0,10
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,NetPointsRallies,2,2,2,0,0,0,0,10
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,NetPoints,2,2,2,0,0,0,0,11
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,NetPointsRallies,2,2,2,0,0,0,0,11
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,NetPoints,17,15,6,7,0,2,0,149
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,Approach,8,6,1,4,0,2,0,53
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,NetPointsRallies,17,15,6,7,0,2,0,149
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,ApproachRallies,8,6,1,4,0,2,0,53
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,NetPoints,25,15,9,6,5,3,2,178
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,Approach,11,6,1,5,2,2,1,78
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,NetPointsRallies,25,15,9,6,5,3,2,178
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,ApproachRallies,11,6,1,5,2,2,1,78
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,NetPoints,24,21,16,4,1,2,0,171
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,Approach,9,8,7,1,0,1,0,66
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,NetPointsRallies,24,21,16,4,1,2,0,171
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,ApproachRallies,9,8,7,1,0,1,0,66
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,NetPoints,17,12,11,1,2,3,0,98
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,Approach,11,7,7,0,2,2,0,65
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,NetPointsRallies,17,12,11,1,2,3,0,98
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,ApproachRallies,11,7,7,0,2,2,0,65
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,NetPoints,10,6,4,2,2,1,0,60
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,NetPointsRallies,10,6,4,2,2,1,0,60
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,NetPoints,10,9,6,1,0,0,0,76
