match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,first_in,dfs
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,4d,28,18,3,1,6,13,16,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,4a,14,10,5,0,3,8,12,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,5d,11,6,0,0,0,0,2,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,5a,7,3,0,0,2,2,0,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,6d,14,11,3,2,2,9,12,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,6a,27,18,3,2,5,10,14,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,d,44,33,8,2,8,21,27,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,a,37,29,2,2,12,20,23,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,4,32,23,4,2,5,15,25,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,5,13,7,0,0,3,3,4,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,6,36,32,6,2,12,23,21,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,4d,20,14,3,1,4,10,16,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,4a,12,9,1,1,1,5,9,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,5d,5,3,0,0,0,0,0,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,5a,8,4,0,0,3,3,4,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,6d,19,16,5,1,4,11,11,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,6a,17,16,1,1,8,12,10,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,d,75,51,6,6,2,24,53,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,a,68,43,3,0,4,17,40,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,4,55,38,5,2,1,18,41,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,5,11,7,0,0,2,3,4,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,6,76,49,4,4,3,20,48,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,4d,42,28,2,2,0,12,30,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,4a,13,10,3,0,1,6,11,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,5d,4,3,0,0,1,1,0,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,5a,7,4,0,0,1,2,4,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,6d,28,20,4,4,1,11,23,0
