match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,Approach,9,6,3,2,1,2,0,59
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,NetPointsRallies,15,8,5,2,3,4,0,91
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,1,ApproachRallies,9,6,3,2,1,2,0,59
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,NetPoints,12,9,4,4,0,2,0,90
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,Approach,10,9,4,4,0,1,0,76
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,NetPointsRallies,12,9,4,4,0,2,0,90
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,2,ApproachRallies,10,9,4,4,0,1,0,76
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,NetPoints,9,7,5,2,1,0,1,45
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1,NetPointsRallies,9,7,5,2,1,0,1,45
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,NetPoints,4,2,1,1,0,0,0,34
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2,NetPointsRallies,4,2,1,1,0,0,0,34
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,NetPoints,23,18,10,4,3,0,1,188
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,Approach,1,0,0,0,0,0,1,4
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1,NetPointsRallies,22,18,10,4,3,0,0,184
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,NetPoints,16,16,14,2,0,0,0,130
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2,NetPointsRallies,16,16,14,2,0,0,0,130
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,NetPoints,19,17,16,0,1,1,0,89
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,Approach,4,4,3,0,0,0,0,18
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,NetPointsRallies,19,17,16,0,1,1,0,89
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1,ApproachRallies,4,4,3,0,0,0,0,18
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,NetPoints,8,5,3,2,2,1,0,50
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,Approach,2,2,2,0,0,0,0,20
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,NetPointsRallies,8,5,3,2,2,1,0,50
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2,ApproachRallies,2,2,2,0,0,0,0,20
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,NetPoints,25,23,11,9,1,1,0,124
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,Approach,12,11,3,7,0,1,0,68
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,NetPointsRallies,25,23,11,9,1,1,0,124
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,1,ApproachRallies,12,11,3,7,0,1,0,68
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,NetPoints,17,9,2,7,3,4,0,95
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,Approach,8,5,1,4,0,3,0,45
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,NetPointsRallies,17,9,2,7,3,4,0,95
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,2,ApproachRallies,8,5,1,4,0,3,0,45
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,1,NetPoints,2,0,0,0,0,2,0,19
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,1,NetPointsRallies,2,0,0,0,0,2,0,19
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2,NetPoints,14,11,7,3,0,2,1,112
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2,Approach,4,3,0,3,0,1,0,31
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2,NetPointsRallies,14,11,7,3,0,2,1,112
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,2,ApproachRallies,4,3,0,3,0,1,0,31
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1,NetPoints,5,4,3,0,1,0,0,31
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1,Approach,1,1,0,0,0,0,0,3
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1,NetPointsRallies,5,4,3,0,1,0,0,31
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,1,ApproachRallies,1,1,0,0,0,0,0,3
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2,NetPoints,9,6,3,1,2,0,1,70
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2,Approach,3,1,0,0,1,0,1,21
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2,NetPointsRallies,9,6,3,1,2,0,1,70
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,2,ApproachRallies,3,1,0,0,1,0,1,21
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1,NetPoints,11,6,3,2,2,2,1,59
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1,Approach,7,5,3,2,1,1,0,39
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1,NetPointsRallies,11,6,3,2,2,2,1,59
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,1,ApproachRallies,7,5,3,2,1,1,0,39
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,2,NetPoints,19,11,7,2,2,3,2,105
