match_id,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1 Total,15,2,6,6,0,11,7,3,3,1,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1 1,11,0,6,4,0,6,0,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,1 2,4,2,0,2,0,5,7,3,3,1,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2 Total,1,4,17,14,2,3,6,2,3,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2 1,1,3,12,12,0,2,0,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,2 2,0,1,5,2,2,1,6,2,3,0,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1 Total,42,12,30,17,11,51,20,13,16,3,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1 1,29,6,24,12,3,39,0,0,0,0,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,1 2,13,6,6,5,8,12,20,13,16,3,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2 Total,23,25,54,37,29,34,16,19,27,1,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2 1,15,17,37,24,20,30,0,0,0,0,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,2 2,8,8,17,13,9,4,16,19,27,1,0,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1 Total,14,19,11,23,12,6,29,6,10,1,0,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1 1,11,4,8,11,5,5,0,0,0,0,0,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,1 2,3,15,3,12,7,1,29,6,10,1,0,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2 Total,11,28,4,3,30,5,13,0,19,0,0,0
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,2 1,10,17,4,2,17,5,0,0,0,0,0,0
