20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,S,7,3,1,0,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F-XC,19,3,0,1,2,14,5
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F-DTM,20,2,0,0,2,8,12
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F-DTL,8,3,0,2,1,3,5
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F-IO,14,3,0,1,2,3,11
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F-II,1,0,0,0,0,0,1
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,B-XC,38,7,0,3,4,14,24
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,B-DTM,19,1,0,0,1,9,10
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,B-DTL,9,4,2,0,2,3,6
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,B-IO,2,0,0,0,0,2,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,S-XC,7,2,0,0,2,1,6
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,S-DTM,3,0,0,0,0,0,3
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,S-DTL,1,0,0,0,0,0,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Total,59,66,19,17,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F,25,37,8,11,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B,34,28,10,5,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,S,0,1,1,1,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F-XC,25,10,2,1,7,12,13
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F-DTM,37,13,0,1,12,10,27
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F-DTL,8,6,2,2,2,6,2
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F-IO,11,7,2,1,4,5,6
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B-XC,34,6,2,2,2,17,17
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B-DTM,28,4,0,0,4,9,19
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B-DTL,10,5,3,1,1,7,3
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B-IO,5,0,0,0,0,4,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,S-DTM,1,0,0,0,0,1,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,S-DTL,1,0,0,0,0,0,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,S-IO,1,1,0,0,1,0,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Total,60,59,9,21,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F,32,38,3,19,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B,25,21,5,2,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,S,3,0,1,0,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F-XC,32,14,6,3,5,14,18
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F-DTM,38,2,0,0,2,22,16
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F-DTL,3,0,0,0,0,1,2
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F-IO,19,6,2,2,2,14,5
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B-XC,25,1,0,0,1,13,12
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B-DTM,21,2,0,1,1,14,7
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B-DTL,5,2,0,2,0,4,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B-IO,2,0,0,0,0,1,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,S-XC,3,0,0,0,0,0,3
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,S-DTL,1,1,0,1,0,1,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Total,177,153,70,90,8
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F,112,78,24,72,8
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B,63,70,46,18,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,S,2,5,0,0,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F-XC,112,23,10,3,10,64,48
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F-DTM,78,7,0,2,5,37,41
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F-DTL,24,12,3,1,8,13,11
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F-IO,72,40,14,11,15,41,31
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F-II,8,2,2,0,0,7,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B-XC,63,19,3,9,7,36,27
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B-DTM,70,10,0,1,9,27,43
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B-DTL,46,11,3,0,8,20,26
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B-IO,18,9,1,2,6,9,9
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,S-XC,2,0,0,0,0,0,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,S-DTM,5,1,0,1,0,3,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Total,174,167,47,62,8
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F,120,71,23,57,5
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B,47,62,20,2,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S,7,34,4,3,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F-XC,120,13,4,4,5,64,56
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F-DTM,71,8,2,0,6,37,34
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F-DTL,23,7,7,0,0,15,8
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F-IO,57,14,8,0,6,28,29
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F-II,5,1,0,0,1,3,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B-XC,47,13,4,3,6,25,22
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B-DTM,62,4,0,1,3,30,32
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B-DTL,20,4,2,0,2,8,12
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B-IO,2,0,0,0,0,0,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B-II,1,0,0,0,0,1,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S-XC,7,0,0,0,0,3,4
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S-DTM,34,2,0,1,1,11,23
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S-DTL,4,0,0,0,0,2,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S-IO,3,0,0,0,0,3,0
