match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20151009-M-Beijing-QF-John_Isner-Novak_Djokovic,John Isner,Novak Djokovic,R,R,20151009,Beijing,QF,,,Hard,,3,1,Amy
20151008-M-Tokyo-R16-Roberto_Bautista_Agut-Nick_Kyrgios,Roberto Bautista Agut,Nick Kyrgios,R,R,20151008,Tokyo,R16,,Centre,Hard,,3,,Edged
20151008-M-Sacramento_CH-R16-Jared_Donaldson-Tennys_Sandgren,Jared Donaldson,Tennys Sandgren,R,R,20151008,Sacramento CH,R16,,,Hard,,3,1,Amy
20151008-M-Beijing-R16-Novak_Djokovic-Ze_Zhang,Novak Djokovic,Ze Zhang,R,R,20151008,Beijing,R16,,,Hard,,3,1,Amy
20151006-M-Beijing-R32-Novak_Djokovic-Simone_Bolelli,Novak Djokovic,Simone Bolelli,R,R,20151006,Beijing,R32,,,Hard,,3,1,Amy
20151005-M-Mons_CH-Q3-Yannick_Mertens-Scott_Griekspoor,Yannick Mertens,Scott Griekspoor,R,R,20151005,Mons CH,Q3,,,Hard,,3,1,Isaac
20151005-M-Mohammedia_CH-R32-David_Perez_Sanz-Pablo_Carreno_Busta,David Perez Sanz,Pablo Carreno Busta,R,R,20151005,Mohammedia CH,R32,,,Clay,,3,1,Isaac
20151005-M-Beijing-R32-David_Goffin-Andreas_Seppi,David Goffin,Andreas Seppi,R,R,20151005,Beijing,R32,,Lotus Court,Hard,,3,1,Edged
20151004-M-Kuala_Lumpur-F-David_Ferrer-Feliciano_Lopez,David Ferrer,Feliciano Lopez,R,L,20151004,Kuala Lumpur,F,,,Hard,,3,1,Edged
20151003-M-Kuala_Lumpur-SF-Feliciano_Lopez-Nick_Kyrgios,Feliciano Lopez,Nick Kyrgios,L,R,20151003,Kuala Lumpur,SF,3:25 PM,,Hard,Damian Steiner,3,1,ChapelHeel66
20150929-M-Tiburon_CH-R32-Jared_Donaldson-Darian_King,Jared Donaldson,Darian King,R,R,20150929,Tiburon CH,R32,,,Hard,,3,1,Amy
20150928-M-Pereira_CH-R16-Marcelo_Arevalo-Alejandro_Falla,Marcelo Arevalo,Alejandro Falla,R,L,20150928,Pereira CH,R16,,,Clay,,3,1,Isaac
20150927-M-Metz-SF-Jo_Wilfried_Tsonga-Philipp_Kohlschreiber,Jo Wilfried Tsonga,Philipp Kohlschreiber,R,R,20150927,Metz,SF,,,Hard,,3,1,Edged
20150927-M-Metz-F-Jo_Wilfried_Tsonga-Gilles_Simon,Jo Wilfried Tsonga,Gilles Simon,R,R,20150927,Metz,F,,,Hard,Fergus Murphy,3,1,Edged
20150925-M-St_Petersburg-QF-Milos_Raonic-Tommy_Robredo,Milos Raonic,Tommy Robredo,R,R,20150925,St Petersburg,QF,,,Hard,,3,1,Edged
20150925-M-Metz-QF-Martin_Klizan-Guillermo_Garcia_Lopez,Martin Klizan,Guillermo Garcia Lopez,L,R,20150925,Metz,QF,,,Hard,,3,1,Edged
20150924-M-St_Petersburg-R16-Roberto_Bautista_Agut-Teymuraz_Gabashvili,Roberto Bautista Agut,Teymuraz Gabashvili,R,R,20150924,St Petersburg,R16,,,Hard,,3,,Edged
20150923-M-St_Petersburg-R32-Thanasi_Kokkinakis-Marcel_Granollers,Thanasi Kokkinakis,Marcel Granollers,R,R,20150923,St Petersburg,R32,,,Hard,,3,,Edged
