match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,first_in,dfs
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6d,20,13,4,1,3,10,15,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6a,19,14,5,2,4,11,17,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,d,73,38,0,0,9,20,55,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,a,69,39,1,2,5,13,53,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4,34,21,1,0,7,12,30,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5,64,37,0,2,5,17,43,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6,42,17,0,0,2,4,34,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4d,22,14,0,0,4,8,18,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4a,12,7,1,0,3,4,12,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5d,31,17,0,0,4,9,21,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5a,33,20,0,2,1,8,22,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6d,19,6,0,0,1,3,16,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6a,23,11,0,0,1,1,18,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,d,27,13,0,2,3,6,18,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,a,25,20,0,0,4,5,19,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4,19,15,0,1,3,6,16,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5,17,10,0,0,3,3,11,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6,16,8,0,1,1,2,10,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4d,4,3,0,1,0,2,4,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4a,15,12,0,0,3,4,12,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5d,13,7,0,0,3,3,9,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5a,4,3,0,0,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6d,10,3,0,1,0,1,5,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6a,6,5,0,0,1,1,5,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,d,25,11,0,4,0,5,18,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,a,22,8,1,0,2,3,12,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4,11,5,0,3,0,3,8,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5,9,5,0,0,0,1,4,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6,27,9,1,1,2,4,18,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4d,8,5,0,3,0,3,8,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4a,3,0,0,0,0,0,0,2
