match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4,14,7,14,7,12,7,0,63
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5,16,8,16,8,14,8,1,96
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6,12,5,12,5,11,5,0,65
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4D,4,2,4,2,3,2,0,12
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,4A,10,5,10,5,9,5,0,51
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5D,9,3,9,3,8,3,0,52
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,5A,7,5,7,5,6,5,1,44
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6D,9,4,9,4,8,4,0,43
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,1,6A,3,1,3,1,3,1,0,22
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,Total,54,22,48,21,45,21,1,231
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,v1st,42,14,37,14,35,14,0,192
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,v2nd,11,7,11,7,10,7,1,38
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,7,7,2,7,2,7,2,0,35
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,89,37,18,37,18,37,18,0,185
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,9,15,8,15,8,15,8,0,75
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,fh,26,8,22,8,21,8,0,118
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,bh,27,13,26,13,24,13,1,112
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,gs,51,21,46,21,43,21,1,222
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,sl,2,0,2,0,2,0,0,8
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,D,27,13,25,13,23,13,1,118
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,A,26,8,23,8,22,8,0,112
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4,25,9,22,9,20,9,0,104
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5,13,5,13,5,12,5,0,66
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6,15,7,13,7,13,7,1,60
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4D,12,4,10,4,9,4,0,56
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,4A,13,5,12,5,11,5,0,48
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5D,8,3,8,3,7,3,0,39
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5A,5,2,5,2,5,2,0,27
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6D,7,6,7,6,7,6,1,23
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6A,8,1,6,1,6,1,0,37
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Total,142,65,122,62,114,62,4,590
