match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5d,6,5,0,0,0,2,4,1,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,5a,3,1,0,0,0,1,7,1,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6d,6,3,0,0,0,1,6,2,0,0,0,0
20090606-W-Roland_Garros-F-Svetlana_Kuznetsova-Dinara_Safina,2,6a,3,2,0,0,0,0,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,d,39,25,7,1,5,16,19,11,0,0,2,4
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,a,40,25,5,4,7,18,14,6,0,0,1,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4,13,11,3,1,3,10,1,1,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5,31,15,0,1,4,6,24,11,0,0,1,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6,32,23,9,3,5,18,7,4,0,0,2,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4d,8,7,3,0,1,6,1,1,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,4a,5,4,0,1,2,4,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5d,13,7,0,0,2,2,12,6,0,0,1,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,5a,18,8,0,1,2,4,12,5,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6d,15,10,4,1,2,8,5,3,0,0,1,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,6a,17,13,5,2,3,10,2,1,0,0,1,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,d,55,25,0,0,6,14,18,13,0,0,3,6
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,a,53,31,1,2,4,11,16,8,0,0,1,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4,30,18,1,0,6,11,4,3,0,0,1,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5,43,23,0,2,2,10,21,14,0,0,3,7
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6,34,14,0,0,2,4,8,3,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4d,18,11,0,0,3,7,4,3,0,0,1,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4a,12,7,1,0,3,4,0,0,0,0,0,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5d,21,10,0,0,2,4,10,7,0,0,2,5
