match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Fside,101,43,19,12,12,16,65,36
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Bside,114,21,9,3,9,34,69,45
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Fgs,90,35,13,11,11,16,57,33
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Bgs,106,14,6,1,7,34,63,43
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Base,199,50,19,13,18,50,122,77
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Net,16,14,9,2,3,0,12,4
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Gs,157,48,19,12,17,27,95,62
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Dr,3,1,0,1,0,0,2,1
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Vo,15,13,8,2,3,0,11,4
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Ov,1,1,1,0,0,0,1,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,F,90,35,13,11,11,16,57,33
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,B,67,13,6,1,6,11,38,29
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,S,39,1,0,0,1,23,25,14
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,U,1,0,0,0,0,0,0,1
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Y,2,1,0,1,0,0,2,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,V,9,7,5,1,1,0,7,2
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,Z,6,6,3,1,2,0,4,2
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,1,O,1,1,1,0,0,0,1,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Total,196,31,5,8,18,45,74,122
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Fside,87,13,1,5,7,22,38,49
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Bside,109,18,4,3,11,23,36,73
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Fgs,84,12,0,5,7,22,37,47
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Bgs,103,14,2,3,9,23,34,69
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Base,190,26,2,8,16,45,71,119
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Net,6,5,3,0,2,0,3,3
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Gs,165,24,2,8,14,35,69,96
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Lo,3,0,0,0,0,0,0,3
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Vo,6,5,3,0,2,0,3,3
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,F,83,12,0,5,7,21,37,46
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,B,82,12,2,3,7,14,32,50
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,R,1,0,0,0,0,1,0,1
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,S,21,2,0,0,2,9,2,19
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,L,2,0,0,0,0,0,0,2
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,M,1,0,0,0,0,0,0,1
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,V,1,1,1,0,0,0,1,0
20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,2,Z,5,4,2,0,2,0,2,3
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Total,236,74,18,17,39,46,107,129
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Fside,117,48,11,11,26,23,53,64
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Bside,119,26,7,6,13,23,54,65
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Fgs,104,39,6,8,25,23,43,61
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Bgs,103,19,5,5,9,23,46,57
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Base,218,62,11,15,36,46,95,123
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Net,18,12,7,2,3,0,12,6
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Gs,199,57,11,13,33,41,87,112
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Dr,6,2,0,0,2,0,3,3
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Lo,5,2,0,2,0,0,3,2
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Vo,11,6,3,1,2,0,7,4
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Ov,5,4,3,1,0,0,4,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Sw,2,2,1,0,1,0,1,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,F,103,39,6,8,25,22,43,60
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,B,96,18,5,5,8,19,44,52
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,R,1,0,0,0,0,1,0,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,S,7,1,0,0,1,4,2,5
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,U,1,0,0,0,0,0,1,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Y,5,2,0,0,2,0,2,3
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,L,2,1,0,1,0,0,1,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,M,3,1,0,1,0,0,2,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,V,3,2,1,1,0,0,3,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,Z,8,4,2,0,2,0,4,4
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,O,5,4,3,1,0,0,4,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,1,J,2,2,1,0,1,0,1,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Total,225,35,12,11,12,63,124,101
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Fside,137,28,11,7,10,39,73,64
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Bside,88,7,1,4,2,24,51,37
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Fgs,132,25,9,6,10,39,70,62
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Bgs,80,6,0,4,2,23,48,32
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Base,219,31,9,10,12,63,119,100
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Net,6,4,3,1,0,0,5,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Gs,201,30,9,9,12,56,114,87
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Lo,7,0,0,0,0,1,1,6
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Vo,4,2,2,0,0,0,3,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Ov,2,2,1,1,0,0,2,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,F,130,25,9,6,10,38,69,61
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,B,71,5,0,3,2,18,45,26
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,R,2,0,0,0,0,1,1,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,S,9,1,0,1,0,5,3,6
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,L,2,0,0,0,0,0,0,2
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,M,5,0,0,0,0,1,1,4
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,V,1,1,1,0,0,0,1,0
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,Z,3,1,1,0,0,0,2,1
20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,2,O,2,2,1,1,0,0,2,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Total,625,154,48,35,71,108,319,306
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Fside,356,99,37,21,41,49,196,160
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Bside,269,55,11,14,30,59,123,146
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Fgs,346,90,29,20,41,49,186,160
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Bgs,263,51,7,14,30,59,119,144
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Base,609,141,36,34,71,108,305,304
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Net,16,13,12,1,0,0,14,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Gs,597,139,36,32,71,106,300,297
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Vo,13,10,9,1,0,0,11,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Ov,3,3,3,0,0,0,3,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,F,342,89,29,19,41,48,185,157
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,B,255,50,7,13,30,58,115,140
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,R,4,1,0,1,0,1,1,3
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,S,8,1,0,1,0,1,4,4
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,V,7,6,5,1,0,0,7,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,Z,6,4,4,0,0,0,4,2
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,1,O,3,3,3,0,0,0,3,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Total,593,76,29,10,37,122,284,309
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Fside,348,48,21,4,23,63,174,174
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Bside,245,28,8,6,14,59,110,135
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Fgs,346,48,21,4,23,63,174,172
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Bgs,241,26,6,6,14,59,108,133
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Base,593,76,29,10,37,122,284,309
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Gs,511,71,27,9,35,102,253,258
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Dr,3,2,2,0,0,0,2,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Lo,3,0,0,0,0,0,0,3
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,F,340,47,21,4,22,63,172,168
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,B,171,24,6,5,13,39,81,90
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,R,6,1,0,0,1,0,2,4
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,S,70,2,0,1,1,20,27,43
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,U,1,0,0,0,0,0,0,1
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,Y,2,2,2,0,0,0,2,0
20090531-M-French_Open-R16-Robin_Soderling-Rafael_Nadal,2,L,1,0,0,0,0,0,0,1
