match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,RTotal1,55,19,5,3,10
20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,RTotal2,80,25,5,7,19
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,BPO1,6,4,2,0,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,BPO2,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,GPF1,5,2,0,0,1
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,GPF2,12,4,0,1,3
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,DeuceR1,4,2,0,1,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,DeuceR2,0,0,0,0,0
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,RTotal1,15,8,2,1,2
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,RTotal2,12,4,0,1,3
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,BPO1,20,7,2,1,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,BPO2,6,4,0,0,0
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,GPF1,40,20,7,7,1
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,GPF2,33,10,1,4,6
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,DeuceR1,35,13,2,6,4
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,DeuceR2,20,6,2,2,5
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,RTotal1,95,40,11,14,6
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,RTotal2,59,20,3,6,11
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,BPO1,8,3,1,1,3
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,BPO2,8,3,1,0,2
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,GPF1,14,5,3,1,5
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,GPF2,16,6,1,2,1
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,DeuceR1,12,4,0,1,4
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,DeuceR2,11,4,1,0,1
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,RTotal1,34,12,4,3,12
20120505-M-Belgrade-SF-Benoit_Paire-Pablo_Andujar,RTotal2,35,13,3,2,4
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,BPO1,10,2,0,1,3
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,BPO2,2,0,0,0,0
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,GPF1,13,4,0,2,3
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,GPF2,16,6,3,1,2
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,DeuceR1,13,4,2,1,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,DeuceR2,8,2,0,1,1
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,RTotal1,36,10,2,4,7
20120817-M-Cincinnati_Masters-SF-Roger_Federer-Stanislas_Wawrinka,RTotal2,26,8,3,2,3
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,BPO1,0,0,0,0,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,BPO2,4,3,0,1,0
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,GPF1,12,3,1,1,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,GPF2,7,1,0,0,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,DeuceR1,1,0,0,0,1
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,DeuceR2,6,2,0,0,2
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,RTotal1,13,3,1,1,2
20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,RTotal2,17,6,0,1,3
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,BPO1,4,3,0,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,BPO2,7,0,0,0,2
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,GPF1,7,1,1,0,2
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,GPF2,20,10,1,1,1
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,DeuceR1,5,3,0,0,1
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,DeuceR2,11,2,0,0,2
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,RTotal1,16,7,1,0,3
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,RTotal2,38,12,1,1,5
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,BPO1,3,1,0,1,2
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,BPO2,9,3,0,1,4
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,GPF1,18,8,2,2,3
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,GPF2,11,3,0,0,3
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,DeuceR1,5,1,1,0,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,DeuceR2,6,3,0,1,2
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,RTotal1,26,10,3,3,6
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,RTotal2,26,9,0,2,9
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,BPO1,4,2,1,0,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,BPO2,9,5,2,0,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,GPF1,8,0,0,0,2
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,GPF2,12,6,0,0,2
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,DeuceR1,5,2,0,0,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,DeuceR2,13,5,2,0,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,RTotal1,17,4,1,0,4
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,RTotal2,34,16,4,0,4
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,BPO1,6,4,1,2,1
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,BPO2,4,2,1,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,GPF1,9,4,2,1,3
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,GPF2,9,1,0,0,1
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,DeuceR1,8,3,1,0,3
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,DeuceR2,5,0,0,0,2
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,RTotal1,23,11,4,3,7
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,RTotal2,18,3,1,0,3
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,BPO1,7,5,1,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,BPO2,8,3,0,0,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,GPF1,15,9,1,1,4
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,GPF2,12,4,2,0,2
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,DeuceR1,9,4,0,0,2
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,DeuceR2,9,4,2,0,1
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,RTotal1,31,18,2,1,6
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,RTotal2,29,11,4,0,3
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,BPO1,6,3,1,0,1
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,BPO2,2,0,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,GPF1,6,1,1,0,1
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,GPF2,13,4,0,1,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,DeuceR1,1,1,1,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,DeuceR2,5,2,1,0,1
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,RTotal1,13,5,3,0,2
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,RTotal2,20,6,1,1,1
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,BPO1,8,1,0,0,2
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,BPO2,2,2,0,1,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,GPF1,15,5,1,1,5
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,GPF2,11,3,0,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,DeuceR1,11,6,4,0,1
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,DeuceR2,7,1,0,0,4
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,RTotal1,34,12,5,1,8
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,RTotal2,20,6,0,1,4
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,BPO1,1,1,0,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,BPO2,8,4,2,0,2
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,GPF1,17,8,0,3,1
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,GPF2,15,8,4,2,5
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,DeuceR1,8,0,0,0,1
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,DeuceR2,13,6,2,0,2
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,RTotal1,26,9,0,3,2
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,RTotal2,36,18,8,2,9
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,BPO1,4,2,0,0,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,BPO2,7,4,2,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,GPF1,16,5,1,3,2
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,GPF2,15,7,2,3,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,DeuceR1,12,2,0,0,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,DeuceR2,5,1,0,0,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,RTotal1,32,9,1,3,4
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,RTotal2,27,12,4,3,2
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,BPO1,4,3,2,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,BPO2,5,1,1,0,2
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,GPF1,7,1,0,0,3
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,GPF2,11,2,0,1,3
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,DeuceR1,3,1,0,0,1
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,DeuceR2,3,1,0,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,RTotal1,14,5,2,0,4
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,RTotal2,19,4,1,2,5
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,BPO1,5,3,3,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,BPO2,7,0,0,0,3
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,GPF1,6,1,1,0,2
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,GPF2,14,5,1,2,1
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,DeuceR1,4,2,1,0,1
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,DeuceR2,13,5,0,2,1
